,up_bytes,down_bytes,mean,median,mode,std,variance,min,max
count,998313.0,998313.0,,,,,,,
mean,20788.6674429763,84566.41012688406,,,,,,,
std,1562270.5540122183,142148.03409934757,,,,,,,
min,85.0,100.0,,,,,,,
25%,4574.0,35606.0,,,,,,,
50%,8484.0,69718.0,,,,,,,
75%,12837.0,109364.0,,,,,,,
max,405232314.0,10383189.0,,,,,,,
up_bytes,,,20788.6674429763,8484.0,200.0,1562270.5540122183,2440689283933.6436,85.0,405232314.0
down_bytes,,,84566.41012688406,69718.0,450.0,142148.03409934757,20206063598.30928,100.0,10383189.0
