timestamp,src_ip,dst_ip,proto,port,up_bytes,down_bytes,total_bytes,is_anomalous
3767772,192.168.108.196,13.107.42.52,tcp,443,405232314,4711674,409943988,True
3997500,192.168.108.29,142.250.184.246,udp,443,348506792,4257042,352763834,True
5437825,192.168.108.29,142.250.184.246,udp,443,338036636,3556391,341593027,True
6517948,192.168.108.29,142.250.184.246,udp,443,312557778,5811672,318369450,True
5917998,192.168.108.29,142.250.184.246,udp,443,313030010,4185577,317215587,True
5028021,192.168.108.117,13.107.42.29,tcp,443,314400584,2704703,317105287,True
4127517,192.168.108.196,13.107.42.52,tcp,443,297176841,3203779,300380620,True
5087714,192.168.108.196,13.107.42.52,tcp,443,274337738,3173773,277511511,True
5558012,192.168.108.29,142.250.184.246,udp,443,267542544,3037790,270580334,True
5387686,192.168.108.117,13.107.42.29,tcp,443,263848215,3185189,267033404,True
5267710,192.168.108.117,13.107.42.29,tcp,443,263586730,3339142,266925872,True
5147958,192.168.108.117,13.107.42.29,tcp,443,253091133,2881919,255973052,True
4837420,192.168.108.29,142.250.184.246,udp,443,251018450,3375144,254393594,True
7357733,192.168.108.29,142.250.184.246,udp,443,248886961,3539300,252426261,True
6877815,192.168.108.29,142.250.184.246,udp,443,248006031,2265632,250271663,True
4007676,192.168.108.196,13.107.42.52,tcp,443,240847227,2258830,243106057,True
7117748,192.168.108.29,142.250.184.246,udp,443,225264494,3166475,228430969,True
4957616,192.168.108.29,142.250.184.246,udp,443,225221945,2738720,227960665,True
4367525,192.168.108.196,13.107.42.52,tcp,443,224619576,2733800,227353376,True
3517680,192.168.108.29,142.250.184.246,udp,443,217389365,2445431,219834796,True
4787914,192.168.108.117,13.107.42.29,tcp,443,215310801,2441083,217751884,True
6637873,192.168.108.29,142.250.184.246,udp,443,209263659,3247355,212511014,True
7477715,192.168.108.29,142.250.184.246,udp,443,205578066,2143948,207722014,True
3637548,192.168.108.29,142.250.184.246,udp,443,197393735,1913871,199307606,True
5507741,192.168.108.117,13.107.42.29,tcp,443,191105664,1944078,193049742,True
7237830,192.168.108.29,142.250.184.246,udp,443,188200166,2568546,190768712,True
4117514,192.168.108.29,142.250.184.246,udp,443,186175033,2158235,188333268,True
6397943,192.168.108.29,142.250.184.246,udp,443,179611320,2370619,181981939,True
5678136,192.168.108.29,142.250.184.246,udp,443,176266205,2088281,178354486,True
4607554,192.168.108.196,13.107.42.52,tcp,443,169515072,2272914,171787986,True
6277891,192.168.108.29,142.250.184.246,udp,443,168872545,2291705,171164250,True
4667914,192.168.108.117,13.107.42.29,tcp,443,167225196,2713845,169939041,True
5197824,192.168.108.29,142.250.184.246,udp,443,166564589,1893459,168458048,True
6158047,192.168.108.29,142.250.184.246,udp,443,162286577,1760514,164047091,True
3887737,192.168.108.196,13.107.42.52,tcp,443,157392732,2383406,159776138,True
4597693,192.168.108.29,142.250.184.246,udp,443,153166698,1793854,154960552,True
3277856,192.168.108.29,142.250.184.246,udp,443,151624747,1683607,153308354,True
7717675,192.168.108.29,142.250.184.246,udp,443,141661485,2329466,143990951,True
4487539,192.168.108.196,13.107.42.52,tcp,443,141699839,1599987,143299826,True
4727573,192.168.108.196,13.107.42.52,tcp,443,141154783,1284838,142439621,True
5328190,192.168.108.196,13.107.42.52,tcp,443,135578952,1801277,137380229,True
6997902,192.168.108.29,142.250.184.246,udp,443,134325350,1577018,135902368,True
4357599,192.168.108.29,142.250.184.246,udp,443,131627777,1466189,133093966,True
4247441,192.168.108.196,13.107.42.52,tcp,443,129048982,2778763,131827745,True
4237618,192.168.108.29,142.250.184.246,udp,443,127963163,2763014,130726177,True
5317754,192.168.108.29,142.250.184.246,udp,443,127366260,1686938,129053198,True
4907910,192.168.108.117,13.107.42.29,tcp,443,115733822,1541967,117275789,True
5448100,192.168.108.196,13.107.42.52,tcp,443,112616128,1364946,113981074,True
7597608,192.168.108.29,142.250.184.246,udp,443,111789486,1248079,113037565,True
5568174,192.168.108.196,13.107.42.52,tcp,443,111075265,1168771,112244036,True
4477613,192.168.108.29,142.250.184.246,udp,443,109809088,1400904,111209992,True
3397894,192.168.108.29,142.250.184.246,udp,443,108415643,1234857,109650500,True
3757494,192.168.108.29,142.250.184.246,udp,443,102049253,1360666,103409919,True
5797928,192.168.108.29,142.250.184.246,udp,443,101976112,852712,102828824,True
4717409,192.168.108.29,142.250.184.246,udp,443,95872323,898891,96771214,True
3877511,192.168.108.29,142.250.184.246,udp,443,95212732,943941,96156673,True
7837683,192.168.108.29,142.250.184.246,udp,443,86418851,1594099,88012950,True
4967568,192.168.108.196,13.107.42.52,tcp,443,84663986,868667,85532653,True
6757837,192.168.108.29,142.250.184.246,udp,443,69371990,691938,70063928,True
5077669,192.168.108.29,142.250.184.246,udp,443,67813554,739000,68552554,True
4847634,192.168.108.196,13.107.42.52,tcp,443,61760180,897871,62658051,True
6038057,192.168.108.29,142.250.184.246,udp,443,45288606,723251,46011857,True
5207994,192.168.108.196,13.107.42.52,tcp,443,40668823,534004,41202827,True
