,up_bytes,down_bytes,mean,median,mode,std,variance,min,max
count,908858.0,908858.0,,,,,,,
mean,10053.268710843719,92739.17783086027,,,,,,,
std,6902.035929307622,143357.6779200888,,,,,,,
min,74.0,82.0,,,,,,,
25%,5852.0,46688.0,,,,,,,
50%,9154.0,75788.0,,,,,,,
75%,13359.0,114360.0,,,,,,,
max,118312.0,7533185.0,,,,,,,
up_bytes,,,10053.268710843719,9154.0,192.0,6902.035929307622,47638099.96945333,74.0,118312.0
down_bytes,,,92739.17783086027,75788.0,445.0,143357.6779200888,20551423818.63992,82.0,7533185.0
