src_ip,download_amount,upload_amount,upload_download_ratio,connection_count
192.168.108.53,1037914265,113790636,0.10963394553595426,11387
192.168.108.195,953692273,104206102,0.1092659602580213,10357
192.168.108.60,957275988,103261737,0.1078703929634136,10271
192.168.108.88,942520136,103568723,0.10988489162633656,10247
192.168.108.146,938188581,101317042,0.10799219266984449,10110
192.168.108.13,856840559,94027917,0.10973793900435565,9332
192.168.108.140,853237944,92568099,0.10849036854366617,9267
192.168.108.160,832575369,88977067,0.1068696844909905,8968
192.168.108.81,816476764,88575651,0.10848520730223744,8776
192.168.108.148,811315682,88037595,0.10851213276560331,8700
192.168.108.59,805491306,86256143,0.10708513221370511,8661
192.168.108.152,776146488,83000291,0.10693895067911459,8270
192.168.108.41,741996494,82376086,0.11101950840215156,8173
192.168.108.111,769889591,82308953,0.10691007381083037,8164
192.168.108.136,744740512,80956350,0.10870410390673094,8095
192.168.108.21,746790641,80897387,0.10832672848132278,8063
192.168.108.17,745067166,81590596,0.10950770577910555,8019
192.168.108.39,744164797,80214813,0.1077917328572585,8006
192.168.108.191,738110304,79282319,0.10741256228283191,7941
192.168.108.99,734172196,77078631,0.104987128932352,7687
192.168.108.116,696339294,77635659,0.11149113610124664,7599
192.168.108.158,682119332,73921624,0.10837051602577949,7353
192.168.108.209,665482325,72465119,0.10889112494460315,7338
192.168.108.118,676877506,72969315,0.10780283633771692,7305
192.168.108.83,657123154,72063990,0.10966588159515682,7234
192.168.108.184,685619454,72482970,0.10571895178458574,7217
192.168.108.25,685564535,72214259,0.10533546488077887,7149
192.168.108.174,651653024,71270178,0.10936829167541774,7118
192.168.108.37,660630352,71799070,0.10868266918502104,7086
192.168.108.172,641419133,70991333,0.11067853973729218,7085
192.168.108.84,648632798,70280562,0.10835184748089165,7010
192.168.108.50,636768101,70163587,0.11018703180924573,6941
192.168.108.182,638615980,69649925,0.10906386182193561,6916
192.168.108.76,613054431,68654117,0.11198698439878008,6878
192.168.108.97,653118247,69080421,0.10577015925877202,6846
192.168.108.178,641627869,68785113,0.10720406067648536,6812
192.168.108.112,620067295,67480864,0.10882829096799888,6733
192.168.108.204,600214671,67865288,0.11306835917044754,6725
192.168.108.202,636057484,67159404,0.10558700383124492,6638
192.168.108.134,598432284,65715232,0.10981231086122352,6619
192.168.108.205,591188301,65315390,0.1104815333617368,6608
192.168.108.31,596818510,64011646,0.1072547934212027,6513
192.168.108.157,604235785,65236172,0.10796476080939166,6487
192.168.108.186,610216818,65498048,0.10733569785026803,6419
192.168.108.133,586103309,64797416,0.11055630467358443,6409
192.168.108.173,585639393,63077792,0.10770756331277052,6387
192.168.108.210,612305628,63244677,0.10328939357715654,6368
192.168.108.30,599909066,65267228,0.10879520197149346,6349
192.168.108.145,601494438,62857827,0.1045027568484349,6304
192.168.108.121,589828669,64139580,0.10874273050976435,6290
192.168.108.143,590574877,63309944,0.107200537079399,6253
192.168.108.187,560478236,61164956,0.10912993952543057,6227
192.168.108.169,564897299,60969676,0.1079305496909448,6185
192.168.108.40,568093891,60629055,0.10672365248159305,6121
192.168.108.11,579444177,61397424,0.10595916990291888,6092
192.168.108.56,544256751,60546060,0.11124540005935545,6043
192.168.108.171,566587697,61633473,0.10878011175735078,6017
192.168.108.138,551373015,59438765,0.10780136746445598,6008
192.168.108.154,557471021,60735712,0.10894864434576591,5894
192.168.108.135,535706551,58754585,0.10967680886172325,5813
192.168.108.159,515893867,56808528,0.11011669576603049,5748
192.168.108.47,542060004,58186896,0.10734401278571366,5641
192.168.108.167,532199325,56891249,0.10689838623902802,5608
192.168.108.78,537377476,56568905,0.10526847053783103,5593
192.168.108.183,523197644,55357987,0.10580702653164088,5529
192.168.108.141,517795088,56637866,0.1093827796218878,5513
192.168.108.45,522884632,56072751,0.10723732840555161,5468
192.168.108.67,492891985,54641424,0.11085882031536788,5452
192.168.108.122,500289221,54878895,0.10969433818763007,5435
192.168.108.49,506904227,54432504,0.10738222547905485,5400
192.168.108.120,520184214,55854654,0.10737475781992877,5385
192.168.108.175,507804355,53996131,0.10633254809325139,5370
192.168.108.19,507462426,53699657,0.10581996665896994,5294
